@relation concrete
@attribute Cement real [102.0, 540.0]
@attribute BlastFurnaceSlag real [0.0, 359.4]
@attribute FlyAsh real [0.0, 200.100006]
@attribute Water real [121.8, 247.0]
@attribute Superplasticizer real [0.0, 32.200001]
@attribute CoarseAggregate real [801.0, 1145.0]
@attribute FineAggregate real [594.0, 992.6]
@attribute Age integer [1, 365]
@attribute ConcreteCompressiveStrength real [2.33, 82.6]
@inputs Cement, BlastFurnaceSlag, FlyAsh, Water, Superplasticizer, CoarseAggregate, FineAggregate, Age
@outputs ConcreteCompressiveStrength
@data
251.399994, 0.000000, 118.300003, 188.500000, 6.400000, 1028.400024, 757.700012, 56.000000, 36.639999
213.800003, 98.099998, 24.500000, 181.699997, 6.700000, 1066.000000, 785.500000, 3.000000, 13.180000
289.000000, 0.000000, 0.000000, 192.000000, 0.000000, 913.200012, 895.299988, 28.000000, 25.570000
531.299988, 0.000000, 0.000000, 141.800003, 28.200001, 852.099976, 893.700012, 3.000000, 41.299999
310.000000, 142.800003, 0.000000, 167.899994, 10.000000, 914.299988, 804.000000, 28.000000, 45.299999
250.199997, 166.800003, 0.000000, 203.500000, 0.000000, 977.599976, 694.099976, 7.000000, 19.350000
218.899994, 0.000000, 124.099998, 158.500000, 11.300000, 1078.699951, 794.900024, 100.000000, 46.230000
108.300003, 162.399994, 0.000000, 203.500000, 0.000000, 938.200012, 849.000000, 28.000000, 20.590000
475.000000, 118.800003, 0.000000, 181.100006, 8.900000, 852.099976, 781.500000, 91.000000, 74.190002
213.500000, 0.000000, 174.199997, 159.199997, 11.700000, 1043.599976, 771.900024, 28.000000, 44.639999
144.800003, 0.000000, 133.600006, 180.800003, 11.100000, 979.500000, 811.500000, 28.000000, 13.200000
339.000000, 0.000000, 0.000000, 197.000000, 0.000000, 968.000000, 781.000000, 180.000000, 36.450001
339.000000, 0.000000, 0.000000, 197.000000, 0.000000, 968.000000, 781.000000, 28.000000, 32.040001
349.000000, 0.000000, 0.000000, 192.000000, 0.000000, 1056.000000, 809.000000, 120.000000, 40.860001
167.399994, 129.899994, 128.600006, 175.500000, 7.800000, 1006.299988, 746.599976, 14.000000, 31.809999
275.000000, 180.000000, 120.000000, 162.000000, 10.400000, 830.000000, 765.000000, 28.000000, 76.239998
251.399994, 0.000000, 118.300003, 188.500000, 6.400000, 1028.400024, 757.700012, 14.000000, 24.430000
277.000000, 0.000000, 0.000000, 191.000000, 0.000000, 968.000000, 856.000000, 360.000000, 33.700001
158.000000, 0.000000, 195.000000, 220.000000, 11.000000, 898.000000, 713.000000, 28.000000, 8.540000
194.699997, 0.000000, 100.500000, 170.199997, 7.500000, 998.000000, 901.799988, 56.000000, 43.389999
116.000000, 173.000000, 0.000000, 192.000000, 0.000000, 909.799988, 891.900024, 3.000000, 6.280000
350.000000, 0.000000, 0.000000, 203.000000, 0.000000, 974.000000, 775.000000, 90.000000, 31.350000
252.300003, 0.000000, 98.800003, 146.300003, 14.200000, 987.799988, 889.000000, 100.000000, 60.950001
296.000000, 0.000000, 0.000000, 192.000000, 0.000000, 1085.000000, 765.000000, 28.000000, 21.650000
332.500000, 142.500000, 0.000000, 228.000000, 0.000000, 932.000000, 594.000000, 180.000000, 39.779999
286.299988, 200.899994, 0.000000, 144.699997, 11.200000, 1004.599976, 803.700012, 56.000000, 72.989998
313.000000, 161.000000, 0.000000, 178.000000, 10.000000, 917.000000, 759.000000, 28.000000, 52.439999
153.000000, 145.000000, 0.000000, 178.000000, 8.000000, 1000.000000, 822.000000, 28.000000, 19.010000
380.000000, 95.000000, 0.000000, 228.000000, 0.000000, 932.000000, 594.000000, 180.000000, 40.759998
146.000000, 173.000000, 0.000000, 182.000000, 3.000000, 986.000000, 817.000000, 28.000000, 23.740000
260.899994, 100.500000, 78.300003, 200.600006, 8.600000, 864.500000, 761.500000, 28.000000, 32.400002
450.100006, 50.000000, 0.000000, 200.000000, 3.000000, 1124.400024, 613.200012, 28.000000, 39.380001
325.000000, 0.000000, 0.000000, 184.000000, 0.000000, 1063.000000, 783.000000, 7.000000, 17.540001
323.700012, 282.799988, 0.000000, 183.800003, 10.300000, 942.700012, 659.900024, 28.000000, 74.699997
133.000000, 210.000000, 0.000000, 196.000000, 3.000000, 949.000000, 795.000000, 28.000000, 31.030001
323.700012, 282.799988, 0.000000, 183.800003, 10.300000, 942.700012, 659.900024, 3.000000, 28.299999
451.000000, 0.000000, 0.000000, 165.000000, 11.300000, 1030.000000, 745.000000, 28.000000, 78.800003
397.000000, 17.200001, 158.000000, 167.000000, 20.799999, 967.000000, 633.000000, 28.000000, 55.650002
149.000000, 117.599998, 91.699997, 182.899994, 7.100000, 953.400024, 780.299988, 28.000000, 23.520000
305.299988, 203.500000, 0.000000, 203.500000, 0.000000, 965.400024, 631.000000, 28.000000, 43.380001
155.600006, 243.500000, 0.000000, 180.300003, 10.700000, 1022.000000, 697.700012, 28.000000, 37.360001
165.000000, 0.000000, 143.600006, 163.800003, 0.000000, 1005.599976, 900.900024, 14.000000, 16.879999
379.500000, 151.199997, 0.000000, 153.899994, 15.900000, 1134.300049, 605.000000, 7.000000, 47.099998
260.000000, 101.000000, 78.000000, 171.000000, 10.000000, 936.000000, 763.000000, 28.000000, 49.770000
480.000000, 0.000000, 0.000000, 192.000000, 0.000000, 936.000000, 721.000000, 28.000000, 43.889999
362.600006, 189.000000, 0.000000, 164.899994, 11.600000, 944.700012, 755.799988, 7.000000, 55.900002
200.000000, 133.000000, 0.000000, 192.000000, 0.000000, 965.400024, 806.200012, 90.000000, 43.250000
192.000000, 288.000000, 0.000000, 192.000000, 0.000000, 929.799988, 716.099976, 7.000000, 21.480000
230.000000, 0.000000, 118.300003, 195.500000, 4.600000, 1029.400024, 758.599976, 100.000000, 35.340000
310.000000, 0.000000, 0.000000, 192.000000, 0.000000, 1012.000000, 830.000000, 7.000000, 17.240000
540.000000, 0.000000, 0.000000, 173.000000, 0.000000, 1125.000000, 613.000000, 28.000000, 67.309998
218.899994, 0.000000, 124.099998, 158.500000, 11.300000, 1078.699951, 794.900024, 3.000000, 15.340000
380.000000, 0.000000, 0.000000, 228.000000, 0.000000, 932.000000, 670.000000, 180.000000, 53.099998
192.000000, 288.000000, 0.000000, 192.000000, 0.000000, 929.799988, 716.099976, 28.000000, 39.320000
290.399994, 0.000000, 96.199997, 168.100006, 9.400000, 961.200012, 865.000000, 100.000000, 48.970001
148.100006, 0.000000, 182.100006, 181.399994, 15.000000, 838.900024, 884.299988, 28.000000, 15.530000
475.000000, 0.000000, 59.000000, 142.000000, 1.900000, 1098.000000, 641.000000, 28.000000, 57.230000
322.200012, 0.000000, 115.599998, 196.000000, 10.400000, 817.900024, 813.400024, 28.000000, 31.180000
295.799988, 0.000000, 0.000000, 185.699997, 0.000000, 1091.400024, 769.299988, 28.000000, 25.219999
251.399994, 0.000000, 118.300003, 188.500000, 5.800000, 1028.400024, 757.700012, 56.000000, 36.970001
167.000000, 187.000000, 195.000000, 185.000000, 7.000000, 898.000000, 636.000000, 28.000000, 23.889999
362.600006, 189.000000, 0.000000, 164.899994, 11.600000, 944.700012, 755.799988, 3.000000, 35.299999
334.000000, 17.600000, 158.000000, 189.000000, 15.300000, 967.000000, 633.000000, 28.000000, 44.330002
236.899994, 91.699997, 71.500000, 246.899994, 6.000000, 852.900024, 695.400024, 28.000000, 28.629999
355.000000, 19.000000, 97.000000, 145.000000, 13.100000, 967.000000, 871.000000, 28.000000, 44.029999
160.199997, 188.000000, 146.399994, 203.199997, 11.300000, 828.700012, 709.700012, 28.000000, 35.310001
116.000000, 173.000000, 0.000000, 192.000000, 0.000000, 909.799988, 891.900024, 7.000000, 10.090000
151.000000, 0.000000, 185.000000, 167.000000, 16.000000, 1074.000000, 678.000000, 28.000000, 13.460000
254.000000, 0.000000, 0.000000, 198.000000, 0.000000, 968.000000, 863.000000, 365.000000, 29.790001
310.000000, 0.000000, 0.000000, 192.000000, 0.000000, 971.000000, 850.599976, 3.000000, 9.870000
190.000000, 190.000000, 0.000000, 228.000000, 0.000000, 932.000000, 670.000000, 180.000000, 46.930000
393.000000, 0.000000, 0.000000, 192.000000, 0.000000, 940.000000, 758.000000, 28.000000, 39.580002
186.199997, 124.099998, 0.000000, 185.699997, 0.000000, 1083.400024, 764.299988, 7.000000, 8.000000
289.000000, 0.000000, 0.000000, 192.000000, 0.000000, 913.200012, 895.299988, 90.000000, 32.070000
277.100006, 0.000000, 97.400002, 160.600006, 11.800000, 973.900024, 875.599976, 28.000000, 48.279999
122.599998, 183.899994, 0.000000, 203.500000, 0.000000, 958.200012, 800.099976, 90.000000, 33.189999
236.000000, 157.000000, 0.000000, 192.000000, 0.000000, 972.599976, 749.099976, 90.000000, 47.779999
425.000000, 106.300003, 0.000000, 153.500000, 16.500000, 852.099976, 887.099976, 91.000000, 65.199997
200.000000, 133.000000, 0.000000, 192.000000, 0.000000, 965.400024, 806.200012, 7.000000, 17.170000
251.399994, 0.000000, 118.300003, 188.500000, 6.400000, 1028.400024, 757.700012, 3.000000, 13.120000
143.600006, 0.000000, 174.899994, 158.399994, 17.900000, 942.700012, 844.500000, 28.000000, 15.420000
475.000000, 0.000000, 0.000000, 228.000000, 0.000000, 932.000000, 594.000000, 270.000000, 42.130001
313.299988, 0.000000, 113.000000, 178.500000, 8.000000, 1001.900024, 688.700012, 28.000000, 36.799999
356.000000, 0.000000, 142.000000, 193.000000, 11.000000, 801.000000, 778.000000, 28.000000, 40.869999
